按照开盘价排序,日期:20210616
序号,股票代码,股票名称,开盘价,收盘价,涨跌幅
178,cn_000563,陕国投Ａ,3.23,3.26,0.62%
179,cn_002323,*ST雅博,3.25,3.18,-1.55%
180,cn_601988,中国银行,3.07,3.09,0.65%
181,cn_600665,天地源,3.04,3.05,0.00%
182,cn_600807,济南高新,3.1,3.03,-1.94%
183,cn_601618,中国中冶,2.95,3.02,2.37%
184,cn_002542,中化岩土,2.88,2.88,-0.69%
185,cn_002118,紫鑫药业,2.87,2.81,-2.09%
186,cn_000046,泛海控股,2.69,2.72,1.12%
187,cn_000564,*ST大集,2.8,2.71,-3.90%
188,cn_002147,*ST新光,2.55,2.7,5.06%
189,cn_600017,日照港,2.67,2.66,-0.37%
190,cn_600106,重庆路桥,2.58,2.57,-0.39%
191,cn_002325,洪涛股份,2.42,2.41,0.00%
192,cn_002418,康盛股份,2.41,2.4,-0.83%
193,cn_601000,唐山港,2.43,2.4,-1.64%
194,cn_601975,招商南油,2.16,2.14,-0.93%
195,cn_002102,ST冠福,2.14,2.13,-0.47%
196,cn_000669,ST金鸿,2.13,2.12,-2.30%
197,cn_002076,ST雪莱,2.14,2.11,-1.40%
198,cn_000667,美好置业,1.79,1.79,-0.56%
199,cn_600393,ST粤泰,1.43,1.44,0.00%
按照涨跌幅排序,日期:20210616
1,cn_000567,海德股份,10.21,11.04,8.34%
2,cn_600905,三峡能源,4.61,4.95,7.14%
3,cn_002147,*ST新光,2.55,2.7,5.06%
4,cn_601009,南京银行,10.07,10.32,2.99%
5,cn_300024,机器人,9.91,10.2,2.51%
6,cn_000333,美的集团,73.9,75,2.40%
7,cn_601618,中国中冶,2.95,3.02,2.37%
8,cn_600098,广州发展,6.02,6.14,2.33%
9,cn_601390,中国中铁,5.25,5.35,2.10%
10,cn_600887,伊利股份,37.83,38.5,2.01%
11,cn_603288,海天味业,131.85,133.9,1.86%
12,cn_300117,嘉寓股份,3.53,3.59,1.70%
13,cn_000668,荣丰控股,17.18,17.51,1.68%
14,cn_600722,金牛化工,6.68,6.84,1.63%
15,cn_601186,中国铁建,7.4,7.52,1.62%
16,cn_600036,招商银行,54.8,55.6,1.46%
17,cn_300013,新宁物流,5.2,5.22,1.36%
18,cn_000601,韶能股份,5.39,5.43,1.31%
19,cn_000736,中交地产,6.36,6.44,1.26%
20,cn_000046,泛海控股,2.69,2.72,1.12%
21,cn_002357,富临运业,4.9,4.92,1.03%
22,cn_002081,金螳螂,7.89,7.95,1.02%
23,cn_603105,芯能科技,8.02,8.1,1.00%
24,cn_000002,万科Ａ,24.75,24.96,0.81%
25,cn_601236,红塔证券,12.3,12.46,0.81%
26,cn_601669,中国电建,3.81,3.83,0.79%
27,cn_002142,宁波银行,40.26,40.55,0.77%
28,cn_002061,浙江交科,5.43,5.47,0.74%
29,cn_002225,濮耐股份,4.25,4.28,0.71%
30,cn_603167,渤海轮渡,8.45,8.6,0.70%
31,cn_002244,滨江集团,4.31,4.34,0.70%
32,cn_601988,中国银行,3.07,3.09,0.65%
33,cn_000563,陕国投Ａ,3.23,3.26,0.62%
34,cn_002156,通富微电,20.48,20.6,0.59%
35,cn_600769,祥龙电业,5.1,5.15,0.59%
36,cn_002204,大连重工,3.54,3.57,0.56%
37,cn_603353,和顺石油,29.8,29.8,0.51%
38,cn_600864,哈投股份,5.95,5.99,0.50%
39,cn_601198,东兴证券,10.68,10.72,0.47%
40,cn_600028,中国石化,4.74,4.7,0.43%
41,cn_601668,中国建筑,4.86,4.88,0.41%
42,cn_002208,合肥城建,7.31,7.36,0.41%
43,cn_300184,力源信息,5.07,4.99,0.40%
44,cn_000538,云南白药,108.17,107.65,0.39%
45,cn_601099,太平洋,3.36,3.38,0.30%
46,cn_600030,中信证券,24.52,24.65,0.28%
47,cn_600511,国药股份,33.49,33.52,0.21%
48,cn_300746,汉嘉设计,10.05,10.11,0.20%
49,cn_601398,工商银行,5.16,5.17,0.19%
50,cn_002736,国信证券,10.62,10.64,0.19%
51,cn_002492,恒基达鑫,5.47,5.46,0.18%
52,cn_002199,东晶电子,7.21,7.15,0.14%
53,cn_002473,*ST圣莱,7.49,7.51,0.13%
54,cn_600886,国投电力,9.57,9.58,0.10%
55,cn_688981,中芯国际,54.99,55.05,0.09%
56,cn_600436,片仔癀,399.18,399.6,0.06%
57,cn_002032,苏泊尔,66.88,66.5,0.00%
58,cn_002107,沃华医药,7.41,7.41,0.00%
59,cn_002325,洪涛股份,2.42,2.41,0.00%
60,cn_600657,信达地产,3.55,3.56,0.00%
61,cn_600665,天地源,3.04,3.05,0.00%
62,cn_002377,国创高新,3.38,3.38,0.00%
63,cn_600393,ST粤泰,1.43,1.44,0.00%
64,cn_002187,广百股份,8.1,8.1,0.00%
65,cn_002264,新华都,4.36,4.37,0.00%
66,cn_002594,比亚迪,226,211,-9.18%
67,cn_300059,东方财富,30.71,28.83,-6.55%
68,cn_002158,汉钟精机,25.48,23.88,-6.28%
69,cn_600956,新天绿能,12.85,11.93,-6.21%
70,cn_002049,紫光国微,142.3,132.11,-6.19%
71,cn_600660,福耀玻璃,57.6,54.24,-5.93%
72,cn_600797,浙大网新,7.05,6.81,-5.68%
73,cn_300896,爱美客,650.87,614,-5.66%
74,cn_300750,宁德时代,440.91,420.18,-5.58%
75,cn_002088,鲁阳节能,21.88,20.66,-5.58%
76,cn_603259,药明康德,144.03,136,-5.53%
77,cn_000875,吉电股份,5.07,4.82,-5.30%
78,cn_601012,隆基股份,104.76,100.63,-5.07%
79,cn_002091,江苏国泰,8.51,8.19,-4.99%
80,cn_688363,华熙生物,236,223.99,-4.97%
81,cn_600409,三友化工,10.7,10.23,-4.93%
82,cn_300413,芒果超媒,73.59,69.9,-4.90%
83,cn_600917,重庆燃气,8.96,8.47,-4.83%
84,cn_603005,晶方科技,49.8,47.38,-4.80%
85,cn_000301,东方盛虹,16.73,15.99,-4.71%
86,cn_300782,卓胜微,478.29,456,-4.66%
87,cn_300015,爱尔眼科,85,81.07,-4.51%
88,cn_600031,三一重工,27.64,26.92,-4.20%
89,cn_002206,海利得,5.95,5.77,-4.15%
90,cn_600309,万华化学,115.1,110.01,-4.11%
91,cn_000564,*ST大集,2.8,2.71,-3.90%
92,cn_002092,中泰化学,10.24,9.92,-3.88%
93,cn_002254,泰和新材,19.68,18.82,-3.83%
94,cn_002080,中材科技,21.04,20.24,-3.76%
95,cn_002138,顺络电子,33.95,32.76,-3.56%
96,cn_600588,用友网络,33.68,32.98,-3.48%
97,cn_002415,海康威视,60.5,58.68,-3.36%
98,cn_600612,老凤祥,56.7,54.3,-3.36%
99,cn_600745,闻泰科技,96.35,92.29,-3.23%
100,cn_002555,三七互娱,26.53,25.68,-3.17%
101,cn_300149,睿智医药,16.65,16.04,-3.08%
102,cn_300454,深信服,263.02,257,-2.97%
103,cn_600151,航天机电,8.88,8.51,-2.96%
104,cn_002162,悦心健康,5.78,5.6,-2.95%
105,cn_002152,广电运通,12.09,11.86,-2.79%
